Ligand_name,Status
Z5033312650,SUCCESS
Z290054370,SUCCESS
Z1762655050,SUCCESS
Z6739918479,SUCCESS
Z8333807217,SUCCESS
Z5033312650,SUCCESS
Z1762655050,SUCCESS
Z9118181233,SUCCESS
Z1642820218,SUCCESS
Z8657671734,SUCCESS
Z9128121736,SUCCESS
Z2897160553,SUCCESS
Z2763806281,SUCCESS
Z9750290715,SUCCESS
Z3600574557,SUCCESS
Z9662656047,SUCCESS
Z8795960126,SUCCESS
Z6741317082,SUCCESS
Z6615016031,SUCCESS
Z3204122151,SUCCESS
Z8254738224,SUCCESS
Z8761955158,SUCCESS
Z9126218532,SUCCESS
Z9255331422,SUCCESS
Z8120132676,SUCCESS
Z6739870234,SUCCESS
Z5408255266,SUCCESS
Z6099470895,SUCCESS
Z6973988806,SUCCESS
Z1276023166,SUCCESS
Z3204122151,SUCCESS
Z3075502496,SUCCESS
Z9731018174,SUCCESS
Z6781228477,SUCCESS
Z4378962611,SUCCESS
Z7759440377,SUCCESS
Z9241051558,SUCCESS
Z9128121753,SUCCESS
Z7759440377,SUCCESS
Z2991024119,SUCCESS
Z2763749969,SUCCESS
Z6711830979,SUCCESS
Z4087088408,SUCCESS
Z9984295334,SUCCESS
Z6711830979,SUCCESS
Z6739569245,SUCCESS
Z4002537516,SUCCESS
Z9751675259,SUCCESS
Z8949727628,SUCCESS
Z3587954524,SUCCESS
Z2912910120,SUCCESS
Z1165343919,SUCCESS
Z9312345092,SUCCESS
Z8781421175,SUCCESS
Z466924146,SUCCESS
Z2755643392,SUCCESS
Z7707329859,SUCCESS
Z816253800,SUCCESS
Z1762660923,SUCCESS
Z1762943047,SUCCESS
Z1642843671,SUCCESS
Z6739714610,SUCCESS
Z2967991045,SUCCESS
Z8367872809,SUCCESS
Z8437112793,SUCCESS
Z6039483016,SUCCESS
Z9577098435,SUCCESS
Z9128122050,SUCCESS
Z4935661097,SUCCESS
Z1870114447,SUCCESS
Z8254744621,SUCCESS
Z3256652424,SUCCESS
Z3509971428,SUCCESS
Z9058373033,SUCCESS
Z8740135232,SUCCESS
Z9179508789,SUCCESS
Z9569556916,SUCCESS
Z1343270428,SUCCESS
Z85910177,SUCCESS
Z2026307875,SUCCESS
Z9870414361,SUCCESS
Z9698696267,SUCCESS
Z9750290683,SUCCESS
Z1762658978,SUCCESS
Z2897264237,SUCCESS
Z4249865597,SUCCESS
Z9094594855,SUCCESS
Z111688816,SUCCESS
Z9883604224,SUCCESS
Z5592336368,SUCCESS
Z4576493086,SUCCESS
Z9298195851,SUCCESS
Z4574155511,SUCCESS
Z8821244409,SUCCESS
Z466923004,SUCCESS
Z9350137692,SUCCESS
Z111688816,SUCCESS
Z2493136425,SUCCESS
Z8795960110,SUCCESS
Z9338041317,SUCCESS
Z8795960112,SUCCESS
Z3347605140,SUCCESS
Z9313683004,SUCCESS
Z6974004844,SUCCESS
Z9930849033,SUCCESS
Z9670592745,SUCCESS
Z8567046247,SUCCESS
Z8795960134,SUCCESS
Z7133964211,SUCCESS
Z7133964211,SUCCESS
Z9397467458,SUCCESS
Z8761955263,SUCCESS
Z8795960117,SUCCESS
Z9163233365,SUCCESS
Z9925099412,SUCCESS
Z9488177324,SUCCESS
Z3716469152,SUCCESS
Z391965056,SUCCESS
Z3831700387,SUCCESS
Z8761955263,SUCCESS
Z9241053338,SUCCESS
Z6476396988,SUCCESS
Z9925099412,SUCCESS
Z9218217024,SUCCESS
Z1444971011,SUCCESS
Z8856498647,SUCCESS
Z9324097903,SUCCESS
Z9943660962,SUCCESS
Z6480520449,SUCCESS
Z9155967585,SUCCESS
Z8999150604,SUCCESS
Z9063646013,SUCCESS
Z9698683473,SUCCESS
Z6480520449,SUCCESS
Z3505412708,SUCCESS
Z7832053951,SUCCESS
Z9130773596,SUCCESS
Z8802298505,SUCCESS
Z6781292668,SUCCESS
Z7060032650,SUCCESS
Z9908130574,SUCCESS
Z5179474103,SUCCESS
Z7991097542,SUCCESS
Z8928348698,SUCCESS
Z8865665169,SUCCESS
Z8661382476,SUCCESS
Z7923216195,SUCCESS
Z9349016359,SUCCESS
Z9595535154,SUCCESS
Z8865667561,SUCCESS
Z3391131839,SUCCESS
Z9659492224,SUCCESS
Z1840400633,SUCCESS
Z8381857016,SUCCESS
Z9086347719,SUCCESS
Z7055153048,SUCCESS
Z9306336571,SUCCESS
Z9352686735,SUCCESS
Z3839371150,SUCCESS
Z8493470436,SUCCESS
Z9147149664,SUCCESS
Z9061998663,SUCCESS
Z1445281074,SUCCESS
Z9332585963,SUCCESS
Z9214061842,SUCCESS
Z3339275141,SUCCESS
Z1642656490,SUCCESS
Z9532550493,SUCCESS
Z1609499666,SUCCESS
Z8763365850,SUCCESS
Z8763365850,SUCCESS
Z3255923123,SUCCESS
Z9066872081,SUCCESS
Z57541651,SUCCESS
Z1411668677,SUCCESS
Z9751674913,SUCCESS
Z1411668677,SUCCESS
Z9187552341,SUCCESS
Z3638977007,SUCCESS
Z8975652405,SUCCESS
Z9219102781,SUCCESS
Z6739863826,SUCCESS
Z8876224300,SUCCESS
Z6739819627,SUCCESS
Z2091201621,SUCCESS
Z7316956610,SUCCESS
Z9432512124,SUCCESS
Z6313970403,SUCCESS
Z9179508343,SUCCESS
Z1869967341,SUCCESS
Z9187395782,SUCCESS
Z49584853,SUCCESS
Z9698696340,SUCCESS
Z9560311543,SUCCESS
Z1634929974,SUCCESS
Z9147149646,SUCCESS
Z5341476959,SUCCESS
Z9913731816,SUCCESS
Z637708684,SUCCESS
Z9358983184,SUCCESS
Z2581555539,SUCCESS
Z9566773839,SUCCESS
Z774284110,SUCCESS
Z9358992080,SUCCESS
Z1444973676,SUCCESS
Z6265045411,SUCCESS
Z8843499807,SUCCESS
Z4378959432,SUCCESS
Z9665923304,SUCCESS
Z8319380444,SUCCESS
Z9358992350,SUCCESS
Z7887647388,SUCCESS
Z9403336502,SUCCESS
Z9747404691,SUCCESS
Z8761955172,SUCCESS
Z9358992350,SUCCESS
Z1376220907,SUCCESS
Z1845884472,SUCCESS
Z1984537730,SUCCESS
Z4425533296,SUCCESS
Z1603450181,SUCCESS
Z2581558948,SUCCESS
Z5217990556,SUCCESS
Z236100642,SUCCESS
Z8781390904,SUCCESS
Z3493482300,SUCCESS
Z9698696273,SUCCESS
Z9494324268,SUCCESS
Z2723093443,SUCCESS
Z9667173188,SUCCESS
Z929481642,SUCCESS
Z9989099104,SUCCESS
Z2482036369,SUCCESS
Z1970325841,SUCCESS
Z8110783746,SUCCESS
Z940508238,SUCCESS
Z6084790822,SUCCESS
Z9082165659,SUCCESS
Z7626037058,SUCCESS
Z9193183129,SUCCESS
Z9148348504,SUCCESS
Z8795960127,SUCCESS
Z1488605076,SUCCESS
Z9599415483,SUCCESS
Z9454634661,SUCCESS
