molecule_chembl_id,standard_value,pchembl_value,canonical_smiles
CHEMBL3337713,540,6.26760624,Cc1ccc(COc2cc(/C=C/C(=O)O)ccc2OC(=O)CCc2c(F)cc(F)cc2F)cc1
CHEMBL3337714,770,6.113509275,Cc1ccc(COc2cc(/C=C/C(=O)O)ccc2OC(=O)CCc2ccc(O)cc2)cc1
CHEMBL3337715,910,6.040958608,Cc1ccc(COc2cc(/C=C/C(=O)O)ccc2OC(=O)CCc2cccc(O)c2)cc1
CHEMBL3337716,400,6.397940009,O=C(O)/C=C/c1ccc(OC(=O)CCc2cccc(F)c2)c(OCc2cccc(F)c2)c1
CHEMBL3337717,540,6.26760624,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccc(F)cc2)c(OCc2cccc(F)c2)c1
CHEMBL3337718,580,6.236572006,O=C(O)/C=C/c1ccc(OC(=O)CCc2c(F)cc(F)cc2F)c(OCc2cccc(F)c2)c1
CHEMBL3337719,800,6.096910013,O=C(O)/C=C/c1ccc(OC(=O)CCc2cccc(O)c2)c(OCc2cccc(F)c2)c1
CHEMBL3337720,840,6.075720714,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccc(O)cc2)c(OCc2cccc(F)c2)c1
CHEMBL3337721,20,7.698970004,O=C(O)/C=C/c1ccc(OC(=O)CCc2ccccc2)c(OCc2cccc(O)c2)c1
CHEMBL3337722,960,6.017728767,COc1cccc(COc2cc(/C=C/C(=O)O)ccc2OC(=O)CCc2ccccc2)c1
CHEMBL3623735,57,7.244125144,O=C(O)c1ccccc1Nc1cccc(S(F)(F)(F)(F)F)c1
CHEMBL3623736,86,7.065501549,O=C(O)c1cccc(Nc2cccc(S(F)(F)(F)(F)F)c2)c1
CHEMBL3623737,35,7.455931956,O=C(O)c1cccc(Nc2ccc(S(F)(F)(F)(F)F)cc2)c1
CHEMBL3623738,36,7.443697499,O=C(O)c1ccccc1Nc1ccc(S(F)(F)(F)(F)F)cc1
CHEMBL366350,5460,5.262807357,O=C1CCC2(c3ccccc3)Nc3ccccc3N12
CHEMBL4081954,1600,5.795880017,O=C(NCCCc1ccc(O)cc1)c1cc2ccc(O)cc2oc1=O
CHEMBL4089817,470,6.327902142,O=C(NCCCc1ccc(F)cc1)c1cc2ccc(O)cc2oc1=O
CHEMBL4108488,1.8,8.744727495,CN(CCC(=O)O)C(=O)c1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cncc(F)c3)=CC[C@@H]12
CHEMBL4159654,1600,5.795880017,O=C(Nc1cccc(C(F)(F)F)c1)c1c(O)nnn1CC1CC1
CHEMBL4166887,480,6.318758763,O=C(Nc1cccc(C(F)(F)F)c1)c1c(O)nnn1Cc1ccccc1
CHEMBL4174786,310,6.508638306,COc1ccc(Cn2nnc(O)c2C(=O)Nc2cccc(C(F)(F)F)c2)cc1
CHEMBL4284230,15000,4.823908741,C[C@]12CC[C@H]3[C@@H](CC[C@H]4c5cccnc5CC[C@@]43C)[C@@H]1CC(=O)OC2
CHEMBL4439327,35,7.455931956,Oc1ccc2c(O)ncc(-c3cc(F)c(F)c(F)c3)c2c1
CHEMBL4441387,398.11,6.399996913,CC(C)=CCc1cc(/C=C/C(=O)O)ccc1NC(=O)CCc1ccccc1
CHEMBL4457540,79.43,7.100015437,CC(C)=CCc1ccc(/C=C/C(=O)O)cc1OC(=O)CCc1ccccc1
CHEMBL4459662,820,6.086186148,CC(C(=O)O)c1ccc2cc(S(C)(=O)=O)ccc2c1
CHEMBL4467986,70,7.15490196,CC(C)=CCc1cc(/C=C/C(=O)O)cc(C(=O)NCc2ccc(C)cc2)c1
CHEMBL4470997,63.1,7.199970641,CC(C)=CCc1ccc(/C=C/C(=O)O)cc1NC(=O)CCc1ccccc1
CHEMBL4473378,1050,5.978810701,CC(C(=O)O)c1ccc2cc([S+](C)[O-])ccc2c1
CHEMBL4533498,501.19,6.299997603,C[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
CHEMBL4633866,50,7.301029996,N=c1oc2c(O)cccc2cc1C(=O)Nc1cccc(C(F)(F)F)c1
CHEMBL4634140,47,7.327902142,N=c1oc2c(O)cccc2cc1C(=O)Nc1cc(F)c(F)c(F)c1
CHEMBL4634960,29,7.537602002,N=c1oc2c(O)cccc2cc1C(=O)Nc1cccc(F)c1
CHEMBL4636345,52,7.283996656,Cc1ccccc1NC(=O)c1cc2cccc(O)c2oc1=N
CHEMBL4637597,47,7.327902142,CC(C)c1cccc(NC(=O)c2cc3cccc(O)c3oc2=N)c1
CHEMBL4638008,370,6.431798276,N=c1oc2cccc(O)c2cc1C(=O)Nc1ccc(F)cc1
CHEMBL4639417,46,7.337242168,N=c1oc2c(O)cccc2cc1C(=O)Nc1cccc(Cl)c1
CHEMBL4639909,36,7.443697499,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccccc1
CHEMBL4640154,20,7.698970004,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccccc1C(F)(F)F
CHEMBL4640248,56,7.251811973,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccccc1Cl
CHEMBL4640782,58,7.236572006,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccc(C(F)(F)F)cc1C(F)(F)F
CHEMBL4641012,45,7.346787486,CCc1ccc(NC(=O)c2cc3cccc(O)c3oc2=N)cc1
CHEMBL4641799,52,7.283996656,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccc(Cl)cc1
CHEMBL4641899,30,7.522878745,CC(C)c1ccccc1NC(=O)c1cc2cccc(O)c2oc1=N
CHEMBL4642187,21,7.677780705,CCc1ccccc1NC(=O)c1cc2cccc(O)c2oc1=N
CHEMBL4642678,64,7.193820026,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccccc1F
CHEMBL4642852,24,7.619788758,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccc(C(F)(F)F)cc1
CHEMBL4644092,25,7.602059991,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccc(F)cc1
CHEMBL4646593,34,7.468521083,CCc1cccc(NC(=O)c2cc3cccc(O)c3oc2=N)c1
CHEMBL4648687,220,6.657577319,N=c1oc2c(O)cccc2cc1C(=O)Nc1ccc(F)c(F)c1
CHEMBL4648793,27,7.568636236,Cc1ccc(NC(=O)c2cc3cccc(O)c3oc2=N)cc1
CHEMBL4649502,55,7.259637311,Cc1cccc(NC(=O)c2cc3cccc(O)c3oc2=N)c1
CHEMBL464997,15848.93,4.800000053,CC(C)=CCc1cc(/C=C/C(=O)O)ccc1O
CHEMBL4758386,53,7.27572413,O=C(O)c1cccc(Nc2ccc([N+](=O)[O-])c3c([N+](=O)[O-])cccc23)c1
CHEMBL4795494,82,7.086186148,CC(=O)c1ccc(Nc2cccc(C(=O)O)c2)c2ccccc12
CHEMBL503179,960,6.017728767,COc1ccc2c(c1)c(CC(=O)O)cn2C(=O)c1ccc(Cl)cc1
CHEMBL509,540,6.26760624,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
CHEMBL5290170,300,6.522878745,COc1ccc2c(c1)c(Cc1nonc1O)c(C)n2C(=O)c1ccccc1
CHEMBL5397146,400,6.397940009,Cc1ccc(CNC(=O)c2cc(Br)cc(/C=C/C(=O)N(C)C)c2)cc1
CHEMBL5397612,130,6.886056648,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc(F)cc3F)c2)cc1
CHEMBL5401206,94,7.026872146,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc4nccnc4c3)c2)cc1
CHEMBL5401567,120,6.920818754,CC[C@@H](NC(=O)c1cc(/C=C/C(=O)O)cc(-c2ccc(C(C)C)cc2)c1)c1ccccc1
CHEMBL5402185,90,7.045757491,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc(Br)cc3)c2)cc1
CHEMBL5402839,330,6.48148606,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc(CN4CCOCC4)c(F)c3)c2)cc1
CHEMBL5403238,200,6.698970004,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc(C(F)(F)F)cc3)c2)cc1
CHEMBL5403375,110,6.958607315,C/C=C/Cc1cc(/C=C/C(=O)O)cc(C(=O)NCc2ccc(C)cc2)c1
CHEMBL5405662,70,7.15490196,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccccc3F)c2)cc1
CHEMBL5406207,300,6.522878745,Cc1ccc(CNC(=O)c2cc(Br)cc(/C=C/C(=O)O)c2)cc1
CHEMBL5407493,100,7,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc(C)cc3)c2)cc1
CHEMBL5408158,110,6.958607315,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc4c(c3)OCO4)c2)cc1
CHEMBL5408308,110,6.958607315,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccc4cccnc4c3)c2)cc1
CHEMBL5409789,80,7.096910013,C/C=C\Cc1cc(/C=C/C(=O)O)cc(C(=O)NCc2ccc(C)cc2)c1
CHEMBL5409918,80,7.096910013,CC(C)=CCOc1cc(/C=C/C(=O)O)cc(C(=O)NCc2ccc(C)cc2)c1
CHEMBL5410143,2700,5.568636236,Cc1ccc(CNC(=O)c2cc(/C=C/C(N)=O)cc(-c3ccc(Oc4ccccc4)cc3)c2)cc1
CHEMBL5411357,40,7.397940009,Cc1ccc(CNC(=O)c2cc(/C=C/C(=O)O)cc(-c3ccccc3)c2)cc1
